Invoice date,Item #,Lot/Inv #,Year,Make,Model,VIN,Location,Description,Left location,Date paid,Invoice amount
01/06/2026,2284,82672875,2013,FORD,EXPLORER,1FM5K8B8XDGC92623,NJ - GLASSBORO EAST,2013 FORD EXPLORER   ,01/06/2026,01/06/2026,"$1,720.00 USD"
01/06/2026,16,91235405,2021,TOYOTA,COROLLA SE,JTND4MBE8M3139184,NJ - GLASSBORO EAST,2021 TOYOTA COROLLA SE  ,01/06/2026,01/06/2026,"$6,715.00 USD"
01/03/2026,1,96844975,2013,MAZDA,CX-9 TOURI,JM3TB3CV1D0403014,NY - NEWBURGH,2013 MAZDA CX-9 TOURING  ,01/06/2026,01/03/2026,$993.00 USD
01/02/2026,2373,97798605,2022,SUBARU,IMPREZA PR,4S3GTAV69N3717334,PA - PHILADELPHIA,2022 SUBARU IMPREZA PREMIUM  ,01/05/2026,01/02/2026,"$1,550.00 USD"
01/02/2026,3035,96715325,2018,NISSAN,MAXIMA 3.5,1N4AA6AP2JC382327,PA - PHILADELPHIA,2018 NISSAN MAXIMA 3.5S  ,01/05/2026,01/02/2026,"$1,270.00 USD"
01/02/2026,3006,97326465,2017,HONDA,CIVIC EX,19XFC2F76HE204063,PA - PHILADELPHIA,2017 HONDA CIVIC EX  ,01/05/2026,01/02/2026,"$2,310.00 USD"
01/02/2026,3201,96100495,2015,CHEVROLET,SILVERADO,1GCVKPEC8FZ413123,NY - NEWBURGH,2015 CHEVROLET SILVERADO K1500  ,01/06/2026,01/02/2026,"$2,260.00 USD"
12/31/2025,2001,94154855,2019,HONDA,CR-V EX,JHLRW2H52KX012455,NJ - GLASSBORO EAST,2019 HONDA CR-V EX  ,01/02/2026,12/31/2025,"$4,430.00 USD"
12/31/2025,2340,93326455,2006,TOYOTA,HIGHLANDER,JTEDW21A160008857,NY - NEWBURGH,2006 TOYOTA HIGHLANDER HYBRID  ,01/06/2026,12/31/2025,"$1,078.00 USD"
12/31/2025,3228,95177125,2022,FORD,BRONCO SPO,3FMCR9B66NRD03912,NY - NEWBURGH,2022 FORD BRONCO SPORT BIG BEND  ,01/06/2026,12/31/2025,"$3,885.00 USD"
12/31/2025,2502,92877445,2024,BUICK,ENVISTA SP,KL47LBE21RB039445,NJ - TRENTON,2024 BUICK ENVISTA SPORT TOURING  ,01/02/2026,12/31/2025,"$5,290.00 USD"
12/31/2025,133,93724365,2016,HONDA,PILOT EXL,5FNYF5H83GB042232,PA - PHILADELPHIA EAST-SUBLOT,2016 HONDA PILOT EXL  ,01/06/2026,12/31/2025,"$3,984.00 USD"
12/31/2025,2281,93449515,2017,CHEVROLET,EQUINOX LS,2GNALBEKXH1527293,NJ - TRENTON,2017 CHEVROLET EQUINOX LS  ,01/02/2026,12/31/2025,"$1,125.00 USD"
12/31/2025,118,96451375,2018,HONDA,ACCORD EXL,1HGCV1F5XJA070299,PA - PHILADELPHIA EAST-SUBLOT,2018 HONDA ACCORD EXL  ,01/06/2026,12/31/2025,"$2,434.00 USD"
12/31/2025,2254,92174045,2013,INFINITI,JX35,5N1AL0MM9DC301603,NJ - TRENTON,2013 INFINITI JX35   ,01/05/2026,12/31/2025,"$1,005.00 USD"
12/31/2025,2102,90279475,2019,INFINITI,QX60 LUXE,5N1DL0MM4KC548179,NJ - TRENTON,2019 INFINITI QX60 LUXE  ,01/05/2026,12/31/2025,"$2,406.00 USD"
12/31/2025,83,98303975,2017,CHEVROLET,SILVERADO,1GCVKREC1HZ119285,PA - YORK HAVEN,2017 CHEVROLET SILVERADO K1500 LT  ,01/06/2026,12/31/2025,"$5,995.00 USD"
12/31/2025,45,93366095,2022,HONDA,ACCORD SPO,1HGCV1F41NA069118,PA - PHILADELPHIA EAST-SUBLOT,2022 HONDA ACCORD SPORT SE  ,01/06/2026,12/31/2025,"$6,194.00 USD"
12/31/2025,2031,97747955,2012,TESLA,MODEL S,5YJSA1DP5CFS01028,NJ - TRENTON,2012 TESLA MODEL S   ,01/02/2026,12/31/2025,"$1,215.00 USD"
12/31/2025,8,95840235,2021,TOYOTA,COROLLA LE,JTDEPMAE3MJ180657,PA - PHILADELPHIA EAST-SUBLOT,2021 TOYOTA COROLLA LE  ,01/06/2026,12/31/2025,"$10,399.00 USD"
12/31/2025,2033,85555285,2021,FORD,F250 SUPER,1FDBF2A62MED09933,NJ - GLASSBORO EAST,2021 FORD F250 SUPER DUTY  ,01/02/2026,12/31/2025,"$3,380.00 USD"
12/30/2025,25,94466495,2012,BUICK,LACROSSE P,1G4GD5ER2CF283974,NJ - TRENTON,2012 BUICK LACROSSE PREMIUM  ,12/31/2025,12/30/2025,$615.00 USD
12/30/2025,4,96712025,2012,GMC,TERRAIN SL,2GKFLVEK1C6261999,PA - PHILADELPHIA EAST-SUBLOT,2012 GMC TERRAIN SLT  ,01/06/2026,12/30/2025,"$1,501.68 USD"
12/30/2025,2328,96367945,2017,DODGE,JOURNEY SE,3C4PDCAB2HT549833,PA - PHILADELPHIA,2017 DODGE JOURNEY SE  ,12/31/2025,12/30/2025,"$1,670.00 USD"
12/30/2025,2288,93137195,2014,NISSAN,ROGUE S,5N1AT2MV5EC861317,PA - PHILADELPHIA,2014 NISSAN ROGUE S  ,01/05/2026,12/30/2025,"$1,630.00 USD"
12/30/2025,2101,87281075,2015,CHEVROLET,TRAVERSE L,1GNKVFKD6FJ381070,PA - PHILADELPHIA,2015 CHEVROLET TRAVERSE LS  ,01/05/2026,12/30/2025,"$1,005.00 USD"
12/30/2025,3330,62354035,2007,TOYOTA,CAMRY HYBR,JTNBB46K673036167,NY - NEWBURGH,2007 TOYOTA CAMRY HYBRID  ,01/06/2026,12/30/2025,$875.00 USD
12/30/2025,2253,98018135,2014,MITSUBISHI,OUTLANDER,JA4JZ4AX1EZ000325,PA - PHILADELPHIA,2014 MITSUBISHI OUTLANDER GT  ,12/31/2025,12/30/2025,"$1,950.00 USD"
12/30/2025,2099,95332445,2012,JEEP,GRAND CHER,1C4RJFBG6CC248483,PA - PHILADELPHIA,2012 JEEP GRAND CHEROKEE LIMITED  ,01/05/2026,12/30/2025,"$1,225.00 USD"
12/30/2025,2090,95577195,2021,NISSAN,ALTIMA SL,1N4BL4EV1MN353602,PA - PHILADELPHIA,2021 NISSAN ALTIMA SL  ,12/31/2025,12/30/2025,"$1,000.00 USD"
12/30/2025,2075,95660075,2013,BUICK,LACROSSE P,1G4GH5E37DF127382,PA - PHILADELPHIA,2013 BUICK LACROSSE PREMIUM  ,01/05/2026,12/30/2025,$670.00 USD
12/30/2025,2070,95083155,2008,NISSAN,SENTRA 2.0,3N1AB61E58L646292,PA - PHILADELPHIA,2008 NISSAN SENTRA 2.0  ,12/31/2025,12/30/2025,$615.00 USD
12/30/2025,2052,94222435,2013,TOYOTA,PRIUS C,JTDKDTB38D1057925,PA - PHILADELPHIA,2013 TOYOTA PRIUS C   ,12/31/2025,12/30/2025,$615.00 USD
12/30/2025,2292,94455435,2019,SUBARU,IMPREZA,4S3GTAA63K1723661,NY - NEWBURGH,2019 SUBARU IMPREZA   ,01/06/2026,12/30/2025,"$1,885.00 USD"
12/30/2025,2284,93092595,2021,BUICK,ENCLAVE ES,5GAEVAKW7MJ269984,NY - NEWBURGH,2021 BUICK ENCLAVE ESSENCE  ,01/06/2026,12/30/2025,"$1,720.00 USD"
12/30/2025,36,94025795,2017,ACURA,MDX ADVANC,5FRYD4H85HB039963,PA - PHILADELPHIA,2017 ACURA MDX ADVANCE  ,12/31/2025,12/30/2025,"$4,580.00 USD"
12/30/2025,2007,91994525,2015,JEEP,GRAND CHER,1C4RJFBG3FC637005,NJ - GLASSBORO EAST,2015 JEEP GRAND CHEROKEE LIMITED  ,01/02/2026,12/30/2025,"$1,025.00 USD"
12/30/2025,21,94340485,2019,HONDA,FIT EX,3HGGK5H81KM731537,NJ - SOMERVILLE,2019 HONDA FIT EX  ,01/05/2026,12/30/2025,"$4,273.00 USD"
12/30/2025,2014,94950395,2022,SUBARU,OUTBACK LI,4S4BTGND1N3282364,PA - PHILADELPHIA,2022 SUBARU OUTBACK LIMITED XT  ,12/31/2025,12/30/2025,"$1,220.00 USD"
12/30/2025,14,94066925,2020,HONDA,CIVIC LX,19XFC2F68LE208809,NJ - GLASSBORO EAST,2020 HONDA CIVIC LX  ,01/02/2026,12/30/2025,"$4,990.00 USD"
12/30/2025,2019,94187965,2018,GMC,CANYON SLE,1GTG6CEN0J1159356,DC - WASHINGTON DC,2018 GMC CANYON SLE  ,12/31/2025,12/30/2025,"$4,890.00 USD"
12/29/2025,89,94967575,2016,GMC,ACADIA SLT,1GKKVRKD2GJ191766,NJ - TRENTON,2016 GMC ACADIA SLT-1  ,12/31/2025,12/29/2025,$880.00 USD
12/29/2025,2508,82588275,2013,FORD,FUSION SE,3FA6P0H73DR152213,NJ - TRENTON,2013 FORD FUSION SE  ,01/05/2026,12/29/2025,"$1,263.80 USD"
12/29/2025,2506,94978305,2018,ACURA,TLX,19UUB1F32JA000355,NJ - TRENTON,2018 ACURA TLX   ,12/31/2025,12/29/2025,"$1,150.00 USD"
12/29/2025,35,93444055,2007,NISSAN,FRONTIER K,1N6BD06T07C412732,NJ - TRENTON,2007 NISSAN FRONTIER KING CAB XE  ,12/31/2025,12/29/2025,"$2,710.00 USD"
12/29/2025,43,96081875,2008,DODGE,RAM 1500 S,1D7HU18268J108041,PA - PHILADELPHIA EAST-SUBLOT,2008 DODGE RAM 1500 ST  ,01/06/2026,12/29/2025,$741.66 USD
12/29/2025,2022,91605185,2019,HONDA,CIVIC LX,2HGFC2F67KH548263,NJ - TRENTON,2019 HONDA CIVIC LX  ,12/31/2025,12/29/2025,"$2,025.00 USD"
12/29/2025,2011,96984775,2015,HYUNDAI,ELANTRA SE,KMHDH4AEXFU445600,NJ - TRENTON,2015 HYUNDAI ELANTRA SE  ,12/31/2025,12/29/2025,$995.00 USD
12/29/2025,11,93680085,2013,FORD,FUSION SE,3FA6P0HR4DR116032,PA - PHILADELPHIA EAST-SUBLOT,2013 FORD FUSION SE  ,01/06/2026,12/29/2025,"$1,771.66 USD"
12/28/2025,,6632363,,,,,,PREMIER ANNUAL RENEWAL FEE,,12/28/2025,$249.00 USD
12/26/2025,87,96783615,2020,HONDA,CIVIC LX,2HGFC2F60LH524355,PA - PHILADELPHIA,2020 HONDA CIVIC LX  ,12/30/2025,12/26/2025,"$3,285.00 USD"
12/26/2025,3072,90391745,2023,KIA,SELTOS S,KNDEUCAA3P7426656,PA - PHILADELPHIA,2023 KIA SELTOS S  ,12/30/2025,12/26/2025,"$1,670.00 USD"
12/26/2025,2057,95843965,2019,DODGE,GRAND CARA,2C4RDGBG3KR585146,VA - RICHMOND,2019 DODGE GRAND CARAVAN SE  ,12/31/2025,12/26/2025,"$2,145.00 USD"
12/26/2025,3046,93130615,2008,CHEVROLET,EXPRESS G1,1GCFG15X981140958,PA - PHILADELPHIA,2008 CHEVROLET EXPRESS G1500   ,12/30/2025,12/26/2025,$745.00 USD
12/26/2025,3039,96375945,2019,BUICK,ENCORE PRE,KL4CJASB0KB804489,PA - PHILADELPHIA,2019 BUICK ENCORE PREFERRED  ,12/30/2025,12/26/2025,$825.00 USD
12/26/2025,3211,93104395,2010,ACURA,MDX,2HNYD2H26AH510840,NY - NEWBURGH,2010 ACURA MDX   ,12/29/2025,12/26/2025,$615.00 USD
12/26/2025,3003,96261625,2013,DODGE,CHALLENGER,2C3CDYAG1DH609292,PA - PHILADELPHIA,2013 DODGE CHALLENGER SXT  ,12/30/2025,12/26/2025,$640.00 USD
12/26/2025,3002,94080695,2021,JEEP,RENEGADE S,ZACNJDAB6MPN31159,PA - PHILADELPHIA,2021 JEEP RENEGADE SPORT  ,12/30/2025,12/26/2025,"$1,270.00 USD"
12/26/2025,3200,86878515,2016,CHEVROLET,MALIBU LT,1G1ZE5ST0GF228545,NY - NEWBURGH,2016 CHEVROLET MALIBU LT  ,12/29/2025,12/26/2025,"$1,500.00 USD"
12/24/2025,4063,93147835,2020,HONDA,CIVIC SPOR,SHHFK7H44LU404234,VA - FREDERICKSBURG,2020 HONDA CIVIC SPORT  ,12/31/2025,12/24/2025,"$5,780.00 USD"
