InvoiceDate,Item #,Lot/inv #,Year,Make,Model,Category,Vin,Location,Description,Left Location,DatePaid,Invoice Amount
12/08/2025,2299,91789465,2013,NISSAN,SENTRA SV,SC,3N1AB7AP2DL614465,NJ - TRENTON,2013 NISSAN SENTRA S,12/11/2025,12/08/2025,1275.000 USD
12/08/2025,4049,91053555,2020,HONDA,ACCORD SPO,SC,1HGCV2E37LA004396,NJ - TRENTON,2020 HONDA ACCORD SPORT,12/11/2025,12/08/2025,6620.000 USD
12/08/2025,1122,91182945,2015,CHRYSLER,200 S,ST,1C3CCCDGXFN630198,VA - RICHMOND EAST,2015 CHRYSLER 200 S,12/12/2025,12/08/2025,1015.000 USD
12/08/2025,,6354598,,,,,,,MISC INVOICE,,12/08/2025,60.000 USD
12/10/2025,1,91023815,2013,CHEVROLET,EXPRESS G3,NT,1GCZGTCG1D1122816,MD - BALTIMORE EAST,2013 CHEVROLET EXPRESS 3500 DELIVERY VAN,12/17/2025,12/10/2025,1095.000 USD
12/10/2025,3002,93736515,2016,CHRYSLER,TOWN & COU,ST,2C4RC1BG2GR128741,VA - FREDERICKSBURG,2016 CHRYSLER TOWN & COUNTRY TOURING,12/12/2025,12/10/2025,2075.000 USD
12/10/2025,2018,93731865,2018,DODGE,JOURNEY CR,ST,3C4PDCGGXJT379097,VA - FREDERICKSBURG,2018 DODGE JOURNEY CROSSROAD,12/12/2025,12/10/2025,2665.000 USD
12/10/2025,2268,91217755,2012,CHEVROLET,MALIBU 1LT,SC,1G1ZC5E07CF110560,NJ - TRENTON,2012 CHEVROLET MALIBU 1LT,12/11/2025,12/10/2025,950.000 USD
12/10/2025,3084,91700635,2016,HONDA,HR-V EX,ST,3CZRU6H51GM768229,VA - FREDERICKSBURG,2016 HONDA HR-V EX,12/12/2025,12/10/2025,3635.000 USD
12/10/2025,,6397102,,,,,,,MISC INVOICE,,12/10/2025,360.000 USD
12/11/2025,3204,91654715,2018,FORD,FUSION TIT,SM,3FA6P0D97JR151259,NY - NEWBURGH,2018 FORD FUSION TITANIUM/PLATINUM,12/15/2025,12/11/2025,850.000 USD
12/11/2025,2018,84887035,2016,CHEVROLET,MALIBU LIM,SC,1G11C5SA0GU107964,NJ - GLASSBORO EAST,2016 CHEVROLET MALIBU LIMITED LT,12/17/2025,12/11/2025,790.000 USD
12/11/2025,25,68181725,2016,NISSAN,SENTRA S,FS,3N1AB7AP5GL684577,NJ - GLASSBORO EAST,2016 NISSAN SENTRA S,12/17/2025,12/11/2025,1090.000 USD
12/11/2025,3254,85834495,2009,FORD,F150 SUPER,SM,1FTPX14V99FB08455,NY - NEWBURGH,2009 FORD F150 SUPER CAB,12/23/2025,12/11/2025,1430.000 USD
12/11/2025,2231,94855235,2019,HYUNDAI,ELANTRA GT,SM,KMHH35LE8KU102846,NY - NEWBURGH,2019 HYUNDAI ELANTRA GT,12/15/2025,12/11/2025,975.000 USD
12/11/2025,,6410178,,,,,,,MISC INVOICE,,12/11/2025,192.000 USD
12/11/2025,3292,95273335,2014,CADILLAC,CTS,SM,1G6AW5SX3E0175430,NY - NEWBURGH,2014 CADILLAC CTS,12/15/2025,12/11/2025,1600.000 USD
12/12/2025,1,89863505,2018,NISSAN,MAXIMA 3.5,SC,1N4AA6AP3JC371207,PA - PHILADELPHIA,2018 NISSAN MAXIMA 3.5S,12/16/2025,12/12/2025,3180.000 USD
12/12/2025,2034,82318205,2008,CHEVROLET,TAHOE K150,S1,1GNFK130X8R108064,DC - WASHINGTON DC,2008 CHEVROLET TAHOE K1500,12/16/2025,12/12/2025,950.000 USD
12/12/2025,3033,93437415,2007,TOYOTA,RAV4 LIMIT,SC,JTMBK31V376017946,PA - PHILADELPHIA,2007 TOYOTA RAV4 LIMITED,12/16/2025,12/12/2025,690.000 USD
12/12/2025,3035,94683395,2018,JEEP,COMPASS LA,SC,3C4NJDBB1JT392547,PA - PHILADELPHIA,2018 JEEP COMPASS LATITUDE,12/16/2025,12/12/2025,825.000 USD
12/12/2025,2513,49073465,2017,SUBARU,IMPREZA PR,S1,4S3GTAB69H3754005,DC - WASHINGTON DC,2017 SUBARU IMPREZA PREMIUM,12/16/2025,12/12/2025,885.000 USD
12/12/2025,2259,95477975,2014,SUBARU,IMPREZA SP,SC,JF1GPAL68E8220601,PA - PHILADELPHIA,2014 SUBARU IMPREZA SPORT PREMIUM,12/16/2025,12/12/2025,2260.000 USD
12/12/2025,2349,91153875,2017,CHEVROLET,SONIC LS,SC,1G1JB5SG7H4100213,PA - PHILADELPHIA,2017 CHEVROLET SONIC LS,12/16/2025,12/12/2025,715.000 USD
12/12/2025,3284,67494915,2017,DODGE,JOURNEY SX,PT,3C4PDDBG8HT574364,NY - NEWBURGH,2017 DODGE JOURNEY SXT,12/15/2025,12/12/2025,2075.000 USD
12/12/2025,3309,95279735,2019,DODGE,GRAND CARA,SM,2C4RDGBG8KR546696,NY - NEWBURGH,2019 DODGE GRAND CARAVAN SE,12/15/2025,12/12/2025,3285.000 USD
12/12/2025,2252,93865815,2011,LINCOLN,MKZ,SC,3LNHL2JC0BR752228,NJ - GLASSBORO EAST,2011 LINCOLN MKZ,12/17/2025,12/12/2025,695.000 USD
12/14/2025,2026,68631425,2008,HONDA,CR-V LX,NT,JHLRE48358C078575,DC - WASHINGTON DC,2008 HONDA CR-V LX,12/19/2025,12/14/2025,1300.000 USD
12/15/2025,3003,91787835,2010,DODGE,JOURNEY SX,ST,3D4PG5FV1AT148076,NJ - TRENTON,2010 DODGE JOURNEY SXT,12/17/2025,12/15/2025,450.000 USD
12/15/2025,3008,90678585,2019,NISSAN,ROGUE S,SC,KNMAT2MVXKP501825,NJ - TRENTON,2019 NISSAN ROGUE S,12/17/2025,12/15/2025,1670.000 USD
12/15/2025,2261,95611975,2010,TOYOTA,COROLLA BA,SC,2T1BU4EE5AC256165,NJ - TRENTON,2010 TOYOTA COROLLA BASE,12/17/2025,12/15/2025,2075.000 USD
12/15/2025,2276,93388365,2012,VOLKSWAGEN,GTI,SC,WVWFD7AJ6CW310427,NJ - TRENTON,2012 VOLKSWAGEN GTI,12/18/2025,12/15/2025,1605.000 USD
12/15/2025,2345,91884455,2013,GMC,ACADIA SLE,SC,1GKKRPKD8DJ180095,NJ - TRENTON,2013 GMC ACADIA SLE,12/17/2025,12/15/2025,850.000 USD
12/15/2025,3037,92628025,2008,FORD,ECONOLINE,CT,1FTNE24W78DB02823,NJ - TRENTON,2008 FORD ECONOLINE E250 VAN,12/19/2025,12/15/2025,683.000 USD
12/15/2025,93,92651275,2012,CHEVROLET,EXPRESS G1,SC,1GCSGAFX8C1105303,NJ - TRENTON,2012 CHEVROLET EXPRESS G1500,12/17/2025,12/15/2025,750.000 USD
12/15/2025,3104,91696455,2015,HONDA,ODYSSEY EX,SC,5FNRL5H60FB109752,NJ - TRENTON,2015 HONDA ODYSSEY EXL,12/17/2025,12/15/2025,1361.800 USD
12/15/2025,2382,70842395,2012,HONDA,CIVIC EX,SC,2HGFG3B80CH517147,NJ - TRENTON,2012 HONDA CIVIC EX,12/19/2025,12/15/2025,705.000 USD
12/15/2025,3503,90361235,2020,DODGE,CHARGER SX,SC,2C3CDXBG5LH169729,NJ - TRENTON,2020 DODGE CHARGER SXT,12/18/2025,12/15/2025,1905.000 USD
12/15/2025,3504,84369835,2014,KIA,SOUL +,SC,KNDJP3A58E7724951,NJ - TRENTON,2014 KIA SOUL +,12/19/2025,12/15/2025,1140.000 USD
12/15/2025,2327,81220115,2007,LEXUS,ES 350,CT,JTHBJ46G572140060,NJ - TRENTON,2007 LEXUS ES 350,12/19/2025,12/15/2025,1128.000 USD
12/16/2025,7,91049875,2019,NISSAN,KICKS S,S2,3N1CP5CU7KL496444,MD - BALTIMORE EAST,2019 NISSAN KICKS S,12/18/2025,12/16/2025,2865.000 USD
12/16/2025,19,94039795,2016,RAM,1500 ST,SM,1C6RR7FG1GS371927,NY - NEWBURGH,2016 RAM 1500 ST,12/19/2025,12/16/2025,1128.400 USD
12/16/2025,2282,69641395,2013,JEEP,GRAND CHER,SC,1C4RJFAG2DC503116,NY - NEWBURGH,2013 JEEP GRAND CHEROKEE LAREDO,12/19/2025,12/16/2025,855.000 USD
12/16/2025,3286,95266055,2022,HYUNDAI,KONA SEL,SM,KM8K6CAB7NU853497,NY - NEWBURGH,2022 HYUNDAI KONA SEL,12/19/2025,12/16/2025,890.000 USD
12/16/2025,109,66692225,2025,HONDA,CIVIC SPOR,S1,2HGFE2F55SH556928,MD - BALTIMORE EAST,2025 HONDA CIVIC SPORT,12/19/2025,12/16/2025,7065.000 USD
12/16/2025,2332,92874765,2014,ACURA,TSX TECH,SM,JH4CU2F65EC004753,NY - NEWBURGH,2014 ACURA TSX TECH,12/19/2025,12/16/2025,755.000 USD
